"filename", "language", "TypeScript", "JSON", "CSS", "JSON with Comments", "TypeScript JSX", "comment", "blank", "total"
"/Users/diniden/Desktop/self/pixel-art/client/src/components/LightingStudioPanel/LightingStudioPanel.css", "CSS", 0, 0, 63, 0, 0, 0, 11, 74
"/Users/diniden/Desktop/self/pixel-art/client/src/components/LightingStudioPanel/LightingStudioPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 62, 0, 4, 66
"/Users/diniden/Desktop/self/pixel-art/client/src/components/LightingStudioPanel/NormalPicker.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 3
"/Users/diniden/Desktop/self/pixel-art/client/src/components/LightingStudioPanel/NormalPicker.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 1, 5, 20
"/Users/diniden/Desktop/self/pixel-art/client/src/components/ObjectLibrary/ObjectLibrary.css", "CSS", 0, 0, 209, 0, 0, 5, 33, 247
"/Users/diniden/Desktop/self/pixel-art/client/src/components/ObjectLibrary/ObjectLibrary.tsx", "TypeScript JSX", 0, 0, 0, 0, 255, 5, 16, 276
"/Users/diniden/Desktop/self/pixel-art/client/src/components/ObjectSelectModal/ObjectSelectModal.css", "CSS", 0, 0, 198, 0, 0, 0, 30, 228
"/Users/diniden/Desktop/self/pixel-art/client/src/components/ObjectSelectModal/ObjectSelectModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 147, 6, 31, 184
"/Users/diniden/Desktop/self/pixel-art/client/src/components/PixelStudioPanel/PixelStudioPanel.css", "CSS", 0, 0, 132, 0, 0, 1, 22, 155
"/Users/diniden/Desktop/self/pixel-art/client/src/components/PixelStudioPanel/PixelStudioPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 167, 1, 9, 177
"/Users/diniden/Desktop/self/pixel-art/client/src/components/PreviewModal/PreviewModal.tsx", "TypeScript JSX", 0, 0, 0, 0, -2, 5, 0, 3
"/Users/diniden/Desktop/self/pixel-art/client/src/components/ProjectSelectModal/ProjectSelectModal.css", "CSS", 0, 0, 245, 0, 0, 0, 38, 283
"/Users/diniden/Desktop/self/pixel-art/client/src/components/ProjectSelectModal/ProjectSelectModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 164, 0, 23, 187
"/Users/diniden/Desktop/self/pixel-art/client/src/components/ReferenceImageModal/ReferenceImageModal.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/diniden/Desktop/self/pixel-art/client/src/components/ReferenceImageModal/ReferenceImageModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 135, 26, 25, 186
"/Users/diniden/Desktop/self/pixel-art/client/src/components/ReferenceImagePanel/ReferenceImagePanel.css", "CSS", 0, 0, 310, 0, 0, 6, 59, 375
