"filename", "language", "TypeScript", "CSS", "TypeScript JSX", "JSON", "JSON with Comments", "HTML", "comment", "blank", "total"
"/Users/diniden/Desktop/self/pixel-art/client/index.html", "HTML", 0, 0, 0, 0, 0, 16, 0, 2, 18
"/Users/diniden/Desktop/self/pixel-art/client/package.json", "JSON", 0, 0, 0, 30, 0, 0, 0, 2, 32
"/Users/diniden/Desktop/self/pixel-art/client/public/favicon.svg", "HTML", 0, 0, 0, 0, 0, 13, 0, 2, 15
"/Users/diniden/Desktop/self/pixel-art/client/src/App.css", "CSS", 0, 203, 0, 0, 0, 0, 7, 40, 250
"/Users/diniden/Desktop/self/pixel-art/client/src/App.tsx", "TypeScript JSX", 0, 0, 90, 0, 0, 0, 8, 17, 115
"/Users/diniden/Desktop/self/pixel-art/client/src/components/Canvas/Canvas.css", "CSS", 0, 219, 0, 0, 0, 0, 3, 27, 249
"/Users/diniden/Desktop/self/pixel-art/client/src/components/Canvas/Canvas.tsx", "TypeScript JSX", 0, 0, 1118, 0, 0, 0, 123, 159, 1400
"/Users/diniden/Desktop/self/pixel-art/client/src/components/Canvas/LightingCanvas.css", "CSS", 0, 99, 0, 0, 0, 0, 1, 17, 117
"/Users/diniden/Desktop/self/pixel-art/client/src/components/Canvas/LightingCanvas.tsx", "TypeScript JSX", 0, 0, 288, 0, 0, 0, 28, 53, 369
"/Users/diniden/Desktop/self/pixel-art/client/src/components/Canvas/drawingUtils.ts", "TypeScript", 265, 0, 0, 0, 0, 0, 27, 50, 342
"/Users/diniden/Desktop/self/pixel-art/client/src/components/ColorPicker/ColorPicker.css", "CSS", 0, 258, 0, 0, 0, 0, 12, 41, 311
"/Users/diniden/Desktop/self/pixel-art/client/src/components/ColorPicker/ColorPicker.tsx", "TypeScript JSX", 0, 0, 517, 0, 0, 0, 35, 58, 610
"/Users/diniden/Desktop/self/pixel-art/client/src/components/CopyFromModal/CopyFromModal.css", "CSS", 0, 165, 0, 0, 0, 0, 1, 23, 189
